"Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Recap","Tag.Loss","Fin.Clipped","Notes","Gear","Site.Transect","Start.Latitude","Start.Longitude","End.Latitude","End.Longitude","On.Time..s.","Water.Temp..C.","Secchi..cm.","Weather","Year","detect"
"2018-09-13","S. Twin",NA,"BLB",2.71653543307087,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",3.26771653543307,NA,NA,NA,NA,"released alive","Fyke","10","","","","",NA,NA,NA,"",2018,1
