facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer
6,22110001,Storm Lake Max Depth,2006-05-09T08:30:00-05:00,AMBLAKE-SHL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,1.2,mg/l,True,0.05,,,353.2,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-05-09T08:30:00-05:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.02,mg/l,False,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-05-09T08:30:00-05:00,AMBLAKE-SHL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.07,mg/l,True,0.02,,,365.4,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-05-09T08:30:00-05:00,AMBLAKE-SHL,7631-86-9,Silica,Dissolved,,7.5,mg/l,True,1,,,370.1,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-05-09T08:30:00-05:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,21,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-05-09T08:30:00-05:00,AMBLAKE-SHL,7440-44-0,Organic carbon,Total,,6,mg/l,True,0.5,,,5310-B,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-05-09T08:30:00-05:00,AMBLAKE-SHL,7664-41-7,Ammonia (as NH3),Total,,0.01,mg/l,False,0.01,,,APHA 8010F,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-05-09T08:30:00-05:00,AMBLAKE-SHL,TSS,Total suspended solids,NonFilt,,18,mg/l,True,1,,,I3765,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,PH,pH,Total,,8.3,None,True,,,,4500-H,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,400,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,9.6,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,2.5,m,True,,,,Unknown,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.7,m,True,0.01,,,Unknown,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,18.4,deg C,True,0,,,Unknown,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,11,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,3,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,TURB,Turbidity,Total,,15,NTU,True,1,,,180.1,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,ALK-TOT,"Alkalinity, total",Total,,170,mg/l CaCO3,True,1,,,2320,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,SPEC-COND,Specific conductance,Total,,610,uS/cm,True,1,,,2510,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen,Total,,0.5,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,NIT-NO3-NO2,Inorganic nitrogen (nitrate and nitrite) (as N),Total,,1.2,mg/l,True,0.05,,,353.2,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,14265-44-2,Orthophosphate (as P),Dissolved,,0.02,mg/l,False,0.02,,,365.1,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,PHOSP-PHOSP,Phosphate-phosphorus (as P),Total,,0.05,mg/l,True,0.02,,,365.4,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,7631-86-9,Silica,Dissolved,,8.3,mg/l,True,1,,,370.1,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,7440-44-0,Organic carbon,Total,,5.9,mg/l,True,0.5,,,415.1,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,CLR-A-FREE,"Chlorophyll a, free of pheophytin",NonFilt,,12,ug/l,True,1,,,445,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,7664-41-7,Ammonia (as NH3),Total,,0.01,mg/l,False,0.01,,,APHA 8010F,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-06-13T07:45:00-05:00,AMBLAKE-SHL,TSS,Total suspended solids,NonFilt,,14,mg/l,True,1,,,I3765,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,PH,pH,Total,,8.2,None,True,,,,4500-H,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,TDS,Total dissolved solids,Dissolved,,300,mg/l,True,,,,HYDROLAB,,Calculated,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,7782-44-7,Dissolved oxygen (DO),Total,,7.5,mg/l,True,0.1,,,Unknown,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,DEPTH-BOTTOM,"Depth, bottom",Total,,2.4,m,True,,,,Unknown,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.58,m,True,0.01,,,Unknown,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,TEMP-WATER,"Temperature, water",Total,,23.8,deg C,True,0,,,Unknown,,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,TFSS,Fixed suspended solids,NonFilt,,8,mg/l,True,1,,,160.4,UHLLAKE,Calculated,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,TVSS,Volatile Suspended Solids,NonFilt,,4,mg/l,True,1,,,160.4,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,TURB,Turbidity,Total,,21.5,NTU,True,1,,,180.1,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,ALK-TOT,"Alkalinity, total",Total,,160,mg/l CaCO3,True,1,,,2320,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,SPEC-COND,Specific conductance,Total,,480,uS/cm,True,1,,,2510,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,NIT-AMM,Ammonia-nitrogen (as N),Total,,0.05,mg/l,False,0.05,,,350.1,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
6,22110001,Storm Lake Max Depth,2006-07-06T09:00:00-05:00,AMBLAKE-SHL,NIT-KJELD,Kjeldahl nitrogen,Total,,0.8,mg/l,True,0.1,,,351.2,UHLLAKE,Actual,SW,Water,,,BUENA VISTA,07100006,Lake,
